[0.00s -> 2.30s]  three, two, four.
[10176.56s -> 10181.68s]  rated triple A by a standard and pause. They said, well, that's nice. But we want to see
[10181.68s -> 10186.00s]  how a fun balance is going to go over the next couple of years. We want to see growth in that.
[10186.00s -> 10191.28s]  And we want to see payments to the pension plan. And it was for another year after that that
[10191.28s -> 10197.68s]  they actually gave us their triple A. And just to the point now, I want to see in two or three years,
[10197.68s -> 10202.08s]  everybody have a job. But I think things are going to change very dramatically. And that's why I'm
[10202.08s -> 10207.44s]  thinking, you know, to Brian's point to, you know, if we can find a way forward, that would be awesome
[10207.44s -> 10212.56s]  to have a zero percent increase to the mill rate. Thank you. Wendy, take it away.
[10213.12s -> 10221.20s]  Hey, get away, Wendy. I cannot support a $300,000 cut to the board event. That is just to me
[10221.84s -> 10230.80s]  too severe. A lesser amount. I'm not happy with, but I think we can do.
[10232.08s -> 10240.00s]  I would also like to see if there is any money left in this current fiscal year, any savings
[10240.00s -> 10247.36s]  that we can come up with that that money can be like Bob Manfreda said, you know, earmarked
[10247.36s -> 10255.44s]  or put in a special account that we could use to offset some of the cuts that we may have to make.
[10257.68s -> 10265.76s]  And, you know, I mean, it's the real world. Yes, we're going to have a new norm, a no norm,
[10266.32s -> 10274.48s]  back to normal. We don't know. I wish we had some more time on this. I would like if we could
[10274.48s -> 10281.44s]  to recess this meeting to a different time. I don't think that we're at that point that we can
[10282.00s -> 10294.48s]  really come up with a solid number. I don't know. I just don't know.
[10295.44s -> 10303.12s]  Go ahead now. To the question about department heads, I just want the board to know that
[10304.72s -> 10310.96s]  this has started five, six weeks ago. We are conducting two staff meetings a week, one for
[10310.96s -> 10317.28s]  emergency operations and one for general operations. We go over the budget and where we stand today
[10318.00s -> 10323.36s]  every week. And I want to assure this board that we're not going to know
[10324.16s -> 10329.76s]  what anything other than what Bob Kuzlowski has told you until we get to the very end of the year
[10329.76s -> 10335.52s]  and it's July. And we can't wait that long to have a budget. There are no major savings on
[10335.52s -> 10341.76s]  the horizon. Bob has already given you every penny of what we can find so far. Just to let you know
[10342.48s -> 10350.40s]  to Nick's point, right now, building permit applications are not falling off yet. These are
[10350.40s -> 10356.88s]  our land use applications. If anything, the only thing that's happening is that the developers are
[10356.88s -> 10364.08s]  waiting for the restrictions to be lifted so they can go back to work and go back to work on things
[10364.08s -> 10370.00s]  that are already in the pipeline. Those departments are busy. Nick, to your point that they might fall
[10370.00s -> 10375.92s]  off in the future, they might not. I don't know, but right now they're busy. They're looking at a
[10375.92s -> 10384.80s]  summer that is, if it holds, is almost as busy as it was last year when they got so far behind
[10384.80s -> 10390.72s]  in putting building permits into the computer that they were 90 days late on that stuff. They were
[10390.72s -> 10396.88s]  issuing the permits that they were holding up CEOs and other things because, and this is why the
[10396.88s -> 10401.92s]  overtime went up because you have to bring people in to do that. So we're kind of rolling the dice.
[10401.92s -> 10408.16s]  I hear what you're saying. Maybe it'll drop off. Maybe the developers will say there's not enough
[10408.16s -> 10413.52s]  money in the pipeline to do this, but I can't make that prediction. So I just, if you want to hold
[10413.52s -> 10419.20s]  off a meeting to think about it, that's your decision and I understand it, but don't think you're
[10419.20s -> 10425.52s]  going to find any big numbers out of the department. That's just not going to happen. I wish I could give
[10425.68s -> 10430.56s]  you something, but we go through this every week with me and Bob and Brad and the department.
[10431.84s -> 10439.44s]  Thank you. That's all. Lisa Berg is physically waving. Excuse me, the zoom.
[10442.96s -> 10448.96s]  Dan, okay. Been patiently listening and when it got to the part of the town department
[10448.96s -> 10454.88s]  heads and stuff, I had to say, that's right. We have been having meetings every twice a week.
[10456.56s -> 10464.56s]  My issue is that normally my budget's pretty flat. I don't increase anything with this new COVID-19.
[10464.56s -> 10470.00s]  The Secretary of State has now issued us a notice that they will be mailing out absentee
[10470.00s -> 10476.72s]  valid applications to every registered Republican and Democrat for the primary, which has been put
[10476.72s -> 10482.00s]  off to June 2nd. With that being said, with people going to they're not going to want to go to
[10482.00s -> 10489.04s]  the poll, I will have to pay 65 cents to mail each and every ballot plus it costs another 50 cents
[10489.04s -> 10496.08s]  for the ballot. So for each ballot we mail out, that's a huge increase for just my budget alone.
[10496.08s -> 10503.76s]  And we have been discussing how each department head could cut. And I've heard from many other
[10503.76s -> 10511.68s]  department heads, we're pretty right where we have to be. And I'm a pretty frugal person,
[10511.68s -> 10518.32s]  but this is scary because this is something that I've never had to even anticipate doing voting
[10518.32s -> 10525.36s]  by mail. And that's a huge increase to my election account. And I can't process for November,
[10525.36s -> 10530.64s]  if this is what we're going to be doing, voting by mail, 12,000 ballots with three people.
[10531.44s -> 10536.96s]  So these are all things moving forward in the next budget season that are things that have to
[10536.96s -> 10544.00s]  be considered as well, the effects of this virus on our budgets in terms of headed expense, not just
[10544.00s -> 10553.12s]  saving. So that's all I had to say. I guess I maybe try to summarize all of that with a question
[10553.12s -> 10561.44s]  to Bob Kay and I think we know the answer, but what you're telling us is there really are no
[10561.44s -> 10571.52s]  savings. You don't see any savings from current world as impacting the fiscal 2020 budget.
[10572.88s -> 10578.72s]  No, in fact, talking to the different department as the meeting that Matt had mentioned,
[10578.72s -> 10582.48s]  I mean, they all talk about additional expenses that they're going to be incurring.
[10583.12s -> 10589.20s]  Not savings. I mean, there are some savings, but it seems like the expenses are more prominent
[10589.20s -> 10594.88s]  than the savings are especially going into next year. You know, like Matt had said, I mean,
[10596.00s -> 10600.80s]  the building department and planning, they're planning on a big second and third quarter.
[10601.76s -> 10607.84s]  I know, I know nobody has a crystal ball, but that's what it looks like when Lisa just said,
[10608.72s -> 10616.96s]  you know, as far as, you know, having to send up the ballots and then maybe have additional
[10616.96s -> 10621.84s]  help in order to sort those when they come back in. I mean, it's something we've never gone through
[10621.84s -> 10630.64s]  before. So take the point. I think what we're hearing from a few of the members is to the extent
[10630.64s -> 10637.12s]  there were savings. That could take the place of additional cuts and that might be something that
[10637.12s -> 10644.72s]  gets somebody from a position of question to a mess. So I just think, I think what you're telling
[10644.72s -> 10650.24s]  us is we're not going to have that flexibility. I mean, Bob, when you look at our budget overall,
[10650.24s -> 10655.76s]  I mean, like the board of ed is 85% of the labor, and we were probably pretty close to that. Maybe
[10655.76s -> 10661.12s]  a little bit less because we've got the benefits and the debt service, you know, but yeah, I mean,
[10662.08s -> 10668.00s]  there's going around a town hall. I go around in my mind just, you know, from one side to the
[10668.00s -> 10676.40s]  other. There's no major cuts that I could see any savings that I could see. I think Wendy,
[10677.12s -> 10684.08s]  Brian, that's kind of a response, right, to just whether they are savings or not. We are at 10 o'clock,
[10684.08s -> 10688.72s]  which, like we mean, we should recess to come back tomorrow to go through this list.
[10688.88s -> 10696.08s]  But it would be for purposes of going through this list, not necessarily sort of saving savings.
[10700.08s -> 10707.04s]  Nick asked to be unmuted. Thank you. I'm good right now. Thank you. Okay.
[10708.64s -> 10713.12s]  I also noticed in the comment. There's a lot of good comments I see from Nick. I'm assuming that's
[10713.12s -> 10717.04s]  Nick Hoffman from Greg, who I don't have, and Bill Hillman,
[10717.76s -> 10724.40s]  pertains to what the agencies do. I'd be happy to talk to anybody about that. From my personal life,
[10724.40s -> 10728.96s]  I've got a lot of experience with working at the rating agencies, but to the extent people have
[10728.96s -> 10739.36s]  additional perspectives, I think we'd love to hear that. My perspective, in my work environment,
[10739.36s -> 10745.52s]  we've, to Bob Case Point, tried to be very, very clean from how the rating agencies would
[10745.52s -> 10752.56s]  about our operations. But again, to the extent Nick or Greg or Bill, you have some other view,
[10753.60s -> 10765.04s]  we'd love to hear that. With all that said, before I make the motion, I'll ask the Board
[10765.04s -> 10774.16s]  of Finance Members, how do folks think about recently, tonight, coming back tomorrow night,
[10774.72s -> 10782.48s]  to go through the list? What today's what? Today's Tuesday? We want to come back tomorrow night,
[10782.48s -> 10789.44s]  or Thursday. I wait for Thursday, just to give a day between, you know,
[10789.44s -> 10793.52s]  you know, pink and stuff. I'm going to go sideways now, Nick.
[10797.04s -> 10802.16s]  I'm okay because everybody's stuck home, but I'm not sure there's enough time to post an
[10802.16s -> 10806.56s]  agenda for a seven o'clock meeting tomorrow. So, we can't do a meeting tomorrow.
[10807.04s -> 10814.72s]  You're recess. It's not recessed. Oh, just keep this meeting going. I got you. Yeah.
[10814.72s -> 10828.80s]  Yeah. I'm not going out either. I do like the idea of perhaps maybe having a night in between
[10828.80s -> 10834.64s]  to think about it, but I am more than happy to go with the masses, you know, but I do think that,
[10834.64s -> 10838.32s]  you know, there's stuff that we need to think about. Bob K.
